	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.2777016	1.1799236000000002	-0.41864928	-0.54900469	-0.75556187	-0.72560176	-0.7281128	0.86701824	0.86701228	0.52631089	0.56234221	-0.86140362	0.57830798
2	0.078397725	-3.5733483999999995	2.272688	0.93429127	-0.88486836	-0.83665448	-0.83999304	-1.3417841	-1.3417328000000002	-1.0274200999999998	-3.9279843999999997	-0.99024943	-3.9155708
3	0.012143686	0.010263801999999999	-3.2126593	0.028258771000000002	-0.016829012	-0.015483577	-0.015496921	-0.043018375	-0.043016184000000006	-0.02924528	-0.04841204599999999	-0.018538651	-0.049090275
4	-1.7882893	-1.3125434999999999	1.3897257	-2.6835971	0.94588503	0.87494512	0.86846548	-0.77117119	-0.77116918	-0.56382394	-1.7722858	0.96110984	-1.7703471999999998
5	1.0122144	0.68596836	-0.31511979	-0.40610645	-0.44528419	-0.42574729	-0.42723649	0.50852294	0.50852211	0.32376259	0.39805016	-0.50951808	0.40745569
6	1.9344631	1.240201	-0.43146936	-0.67521124	2.9753853	-0.7583271	-0.76038586	0.90553273	0.90553414	0.5467757	0.57655862	-0.89777134	0.59317207
7	2.7608847	1.6927860000000001	-0.47362459	-0.80120419	4.342053400000001	3.1580412	-0.84598395	1.2041952	1.2042028999999999	0.69667152	0.66976786	-0.99696931	0.69111661
8	0.047164957	-0.17153845	1.5203528	0.20383826	-0.16334373	-0.14588862	-0.14571251	-3.4239377	-3.4236091	-2.9229716	-7.3408017999999995	-0.17442384	-7.324343700000001
9	0.27638139	-4.7301449	-1.3432089	1.5269105	-1.2879403	-1.225999	-1.2307579	-2.9124135	-6.2335370999999995	-5.6791108	-10.371283	-1.4325368	-10.354492
10	-0.23618359	-0.10449784	3.6915309	-0.34228008	0.11083143	0.11390716	0.11457043	0.47800629	0.47802317	-3.0163834	-7.456286200000001	0.13757576	-7.439749900000001
11	-0.05209287	-0.1105439	2.2333365	-0.073759691	0.022602232000000003	0.01903604	0.018477427	0.12107796	0.12107734	0.080804898	-2.5823568	0.021325492999999997	0.11984958
12	-1.4798593999999998	-3.147294	2.2381173	0.98627305	-2.51934	-2.4388382	-2.4474301	-1.2468983999999999	-1.2468638	-0.94803166	-3.6448687000000004	-2.7490752	-3.6332923999999998
13	-1.2781844	1.1923492	-3.7032904	-0.54280974	-0.76241431	-0.73209191	-0.73460415	0.85991049	0.85990535	0.52250977	0.5596679	-0.86888662	0.57550991
14	-3.1584902	-0.072715056	0.050307334	-3.2167515	0.049904915999999994	0.047081884000000004	0.047323549000000006	-0.048646743	-0.048650739000000005	-0.033107336	-0.055114378	0.056645833	-0.055849932000000005
15	-0.11917118	1.9888148	-0.47202439	-0.70874405	-1.2303912000000001	-1.1835403	-1.1867572	1.3846926000000002	1.3846926000000002	0.77976706	0.71437776	-1.3827068	0.73828125
16	0.87093951	2.8456639	-0.44708126	-0.49495399	1.4731438000000001	-1.8064407	-1.8126432000000001	1.8090218	1.8090221999999998	0.95337051	0.79467757	-2.0719203999999998	0.82364489
17	0.50123355	2.4958723999999997	-0.4636098	-0.6296397	1.2109647	1.1013313999999998	-1.4002864	1.6526609	1.6526653999999998	0.89290261	0.7685088	-1.6209632999999999	0.79575046
18	-1.3114223999999999	1.3045601	2.2483291000000003	-0.51614067	-0.823891	-0.77814194	-0.78034593	-2.4172821	-2.4173264	-1.9774857	-6.025345400000001	-0.92159784	-6.009466000000001
19	-1.4968204	-4.408475599999999	-1.1371225	1.6224386999999998	-3.1765035	-3.0883625	-3.0978939	-2.7163366	-6.0375773	-5.4844904	-10.170383000000001	-3.4273884	-10.153585000000001
20	-1.4291778999999998	1.159225	4.1037928	-0.77480063	-0.67946847	-0.63828166	-0.64008596	1.1749107	1.1749103	-2.6392835999999997	-6.978224900000001	-0.75896929	-6.9618129
21	-1.3237297	1.0905718999999998	2.0993736000000003	-0.57063121	-0.78066845	-0.75346942	-0.75744438	0.88959538	0.88958453	0.53832278	-2.198353	-0.89662979	0.58562633
22	0.23572868	-4.2353032	0.60143572	1.3368665000000002	-1.1356108999999999	-1.0779658	-1.0820839	-2.2235324	-2.2235005	-1.8005282	-5.7298084000000005	-1.2655267	-5.7142952000000005
23	-1.6481293999999997	-4.3824765	2.2919921000000003	-2.2173956	0.5967772	0.56308967	0.56202306	-1.4353613	-1.4352964	-1.1065316	-4.1808409	0.65441518	-4.1677872
24	0.75567758	-3.4602142	2.2677419999999997	0.80571109	-1.8491369	-1.7753145000000001	-1.782184	-1.3428951	-1.3428428	-1.0283528	-3.9311167	-2.0388137	-3.9186994
25	0.91299016	-3.4716773	2.2681433999999996	0.7742904	0.14599832	-2.9318812000000003	-2.9421221	-1.3509524	-1.3508975	-1.0351323000000001	-3.9538123999999994	-3.2661391	-3.9413359
26	0.82990474	-3.4629699	2.2680114	0.78936339	0.043011328	0.052251722	-1.983322	-1.3462843	-1.3462312	-1.0312040999999998	-3.9406882000000003	-2.2558046000000003	-3.9282455
27	0.45842114	-5.900855	-0.75336432	1.7585861	-1.3384383999999998	-1.2756377	-1.2800221	-6.225817	-6.225100599999999	-5.6707317	-10.362655	-1.4874929	-10.34586
28	0.29687096	-8.564502699999998	-1.8027881999999997	1.6636491999999998	-1.4062766000000002	-1.3431182	-1.3488835	-3.4088123	-6.7300429	-6.172975	-10.877716	-1.5644924	-10.860895
29	-0.074835382	-3.542704	2.6226693	0.80628942	-0.91078402	-0.85227705	-0.85298208	-1.1426148	-1.1424159	-4.1834006	-8.7940989	-1.0027032	-8.7775097
30	-0.031698064	-3.4645995000000003	2.6737273	0.79105455	-0.8509531	-0.80176325	-0.80413271	-1.090115	-1.0900145	-0.8186263	-5.6050603	-0.9483036	-3.1046261000000004
31	-1.7046778000000002	-1.3274194	-0.96847349	-2.5289102999999997	0.86962533	0.80808629	0.80312527	-1.0266746999999998	-1.0266700999999998	-0.76717548	-2.8574165000000002	0.90072813	-2.8490311000000004
32	1.0148947	0.69235682	-3.5835187999999993	-0.39209217	-0.45579688	-0.43566999	-0.43719406	0.4879824	0.48798266	0.31150048	0.38648095	-0.5212655	0.39549173
33	1.9350121999999998	1.2393313	-3.7147241	-0.66549681	2.9632992999999996	-0.76526244	-0.76734111	0.88982004	0.88982196	0.53846344	0.57084557	-0.90578795	0.58719091
34	2.752485	1.6854046999999999	-3.7629891000000004	-0.79496031	4.3201599	3.1497892000000003	-0.84710126	1.1896464	1.1896547	0.6897288	0.66583156	-0.99824309	0.68696399
35	0.071001749	-0.050947917	0.83466059	0.18290493	-0.1167129	-0.10284333	-0.10287907	-3.3883523999999996	-3.3882767999999994	-2.889193	-7.298655900000001	-0.12356571	-7.282172500000001
36	0.30902523	-4.7585533	-2.4950134	1.5632466	-1.291692	-1.2312201999999999	-1.2364806000000002	-2.9356447	-6.257474	-5.7029496	-10.39589	-1.4393181000000002	-10.379045
37	-0.070529757	0.0046338096	1.9308984	-0.10374491	0.034668106000000004	0.041315429	0.04148224	0.15241017	0.15241114	-3.2205713	-7.7030199999999995	0.049737785	-7.6863926
38	0.0083773335	-0.013472955	-0.607222	0.021685074	-0.013900097	-0.012785231000000001	-0.012923896	-0.02988905	-0.029888122000000003	-0.0202922	-2.7170607	-0.015628444	-0.037550257000000004
39	-0.7274994	-0.51087034	0.44062558	-3.02845	0.33994122	0.32042531	0.32044724	-0.35631072	-0.35630813	-0.25043894	-0.52620174	0.38045054	-0.52989029
40	0.25640894	0.23398563	-0.13650263	-3.4757422999999994	4.5751919	-0.051453900999999996	-0.05007492	0.1727353	0.17274715	0.11462245	0.16661384	-0.058029125	0.16957587
41	2.7177569	1.6691821	-0.47263015	-4.1197624	5.8227469	3.5451265	-0.79987938	1.1893888000000001	1.1893978	0.68960674	0.66576478	-0.94426735	0.68689236
42	-1.5780292	-1.432609	0.89242235	-2.3841782000000005	0.85081537	0.79301893	0.78922249	-4.3014046	-4.3008823	-3.7719457999999997	-8.3393897	0.88792466	-8.3227049
43	-1.3504209999999999	-4.4965378	-1.1708048999999998	-1.6980647	0.36284557	0.34841854	0.34859398	-2.7511807999999998	-6.072531	-5.5191941	-10.206274	0.41359462	-10.189475
44	-1.9921398000000001	-1.5551264	3.2312471	-3.0049938	1.0720333	0.99161476	0.98263507	-0.29047447	-0.29041802	-3.5246348	-8.058478599999999	1.0595103000000001	-8.041855499999999
